会社名,得意分野,人月単価_最小,人月単価_最大,スクラッチ,製品サービス,上場,他社出資,従業員規模,特記,価格スコア,技術力スコア,スピードスコア,サポートスコア,実績スコア,内製化スコア,業務自動化,データ分析,LLM対話,画像処理,得意フェーズ
クラスメソッド,AWS活用デジタル化支援,200,240,○,-,×,調査中,800名,投資審査部案件で協議中AWS総合支援,3,4,3,4,5,2,○,△,△,×,"構想,POC,本開発,運用"
Akari,AIエージェント,300,350,○,業界特化型エージェント,×,×,調査中,当社計上消込案件で協議中,3,4,4,4,3,3,○,△,○,×,"POC,本開発"
BrainPad,全般,250,350,○,多数,○,○,550名,業界最大手全般カバートヨタと密接,4,5,2,3,5,2,○,○,○,○,"構想,POC,本開発,運用"
Araya,エッジAISLMローカル実装画像認識,300,350,○,-,×,○,80名,過去にNextyとのビジネスあり,4,5,3,2,4,2,×,△,×,○,"POC,本開発"
Acrosstudio,AIエージェントVLM,120,160,○,-,×,×,50名,営業経理案件進歩中,2,3,4,3,2,2,○,×,○,△,"POC,本開発"
LiberCraft,機械学習最適化LLM導入支援,200,300,○,Dify支援,×,×,10名以下,メンバーの大部分はデータサイエンティスト,3,4,4,4,3,4,△,○,○,×,"POC,本開発"
Weel,受注処理AI部分自動化,300,300,○,-,×,○,30名,外販目的で協働可能研究開発能力高そう,4,4,4,3,3,2,○,△,△,×,"POC,本開発"
LaboroAI,製造最適化機械学習生成AIVLM,400,500,○,今後可能性,○,×,90名,実績豊富だがコスト高い業務理解力が高い全体的にハイレベルトヨタとの取引開始,5,5,3,3,5,2,○,○,○,○,"構想,POC,本開発"
NUCO,需要価格予測,100,150,○,従来ML+LLM,×,○,80名,低価格スクラッチ人員の殆どがエンジニア親会社支援による独立機械学習に強み,1,3,4,2,2,2,○,○,△,×,"POC,本開発"
TANREN,人材育成,-,,×,販売員強化AI,×,×,10名以下,熱意が強く教育観点でユニークバイゴーディング研修可能,3,3,3,5,2,5,△,×,△,×,"構想,教育"
Eriza,ノーコード開発LLM導入支援,400,500,○,Dify的製品自社開発,×,○,60名,UI自動生成MS製品と競合懸念マーケティング戦略やや心配,5,3,3,4,3,4,○,×,○,×,"POC,本開発,運用"
Fusic,AWSWeb+AI統合,200,300,○,-,×,×,200名,AWS運用ぐぐらSI能力充実営業人員○,3,4,3,3,4,2,○,△,△,×,"POC,本開発,運用"
LightBlue,LLM製品提供,-,,×,アプリをLLMで作成する,×,○,30名,清水建設出資月額利用料1500円営業人員○豊通マシナリー大手顧客,2,3,4,4,3,3,△,×,○,×,"POC,運用"
